,city,highest_grade,lowest_grade,phone_number,postal_code,school_id,school_level,school_name,school_url,state,state_school_id,street_address
0,Nashville,8,5,(615)291-6385,37210,100,Middle School,Margaret Allen Middle,http://schools.mnps.org/margaret-allen-middle-prep,TN,450,500 Spence Lane
1,Madison,4,P3,(615)612-3678,37115,105,Elementary School,Amqui Elementary,http://schools.mnps.org/amqui-elementary-school,TN,10,319 Anderson Lane
2,Antioch,12,7,(615)641-5400,37013,110,High School,Antioch High School,http://schools.mnps.org/antioch-high-school,TN,20,1900 Hobson Pike
3,Antioch,8,5,(615)312-6197,37013,111,Middle School,Antioch Middle,http://schools.mnps.org/antioch-middle-prep,TN,23,5050 Blue Hole Road
4,Nashville,12,7,(615)298-3278,37209,114,Adult,W. A. Bass Adult Program,http://schools.mnps.org/wa-bass-learning-center,TN,125,5200 Delaware Avenue
5,Nashville,12,8,(615)298-3278,37209,116,Alternative Learning Center,W.A. Bass Alternative Learning Center,http://schools.mnps.org/wa-bass-learning-center,TN,126,5200 Delaware Avenue
6,Nashville,12,9,(615)298-3278,37209,117,Alternative Learning Center,Transitions at Bass,http://schools.mnps.org/wa-bass-learning-center,TN,725,5200 Delaware Avenue
7,Nashville,8,5,(615)293-5342,37207,118,Charter,Brick Church College Prep,http://www.brickchurchcollegeprep.org/,TN,118,2835 Brick Church Pike
8,Nashville,8,5,(615)262-6710,37207,120,Middle School,Jere Baxter Middle,http://schools.mnps.org/jere-baxter-middle-prep,TN,375,350 Hart Lane
9,Nashville,4,P3,(615)360-2912,37217,122,Elementary School,Lakeview Elementary,http://schools.mnps.org/lakeview-elementary-design-center,TN,430,455 Rural Hill Road
10,Nashville,8,5,(615)662-3000,37221,130,Middle School,Bellevue Middle,http://schools.mnps.org/bellevue-middle-prep,TN,40,655 Colice Jeanne Road
11,Nashville,4,P3,(615)860-1452,37207,135,Elementary School,Bellshire Elementary,http://schools.mnps.org/bellshire-design-center,TN,45,1128 Bell Grimes Lane
12,Nashville,12,7,(615)353-2081,37209,142,Non-Traditional,Nashville Big Picture High School,http://schools.mnps.org/nashville-big-picture-high-school,TN,53,160 Rural Avenue
13,Nashville,4,P3,(615)333-5037,37211,145,Elementary School,Norman Binkley Elementary,http://schools.mnps.org/norman-binkley-elementary-school,TN,525,4700 West Longdale Drive
14,Nashville,4,P3,(615)291-6762,37208,165,Elementary School,Buena Vista Elementary,http://schools.mnps.org/buena-vista-enhanced-option-elementary-school,TN,70,1531 9th Avenue North
15,Nashville,4,P4,(615)291-6361,37207,175,Elementary School,Caldwell Elementary,http://schools.mnps.org/caldwell-enhanced-option-elementary-school,TN,80,244 Foster St.
16,Nashville,8,5,(615)806-6320,37210,181,Charter,Cameron College Preparatory,http://www.cameroncollegeprep.org/,TN,8010,1034 1st Avenue South
17,Antioch,12,7,(615)687-4000,37013,182,High School,Cane Ridge High School,http://schools.mnps.org/cane-ridge-high-school,TN,77,12848 Old Hickory Blvd.
18,Antioch,4,P3,(615)641-7832,37013,184,Elementary School,Cane Ridge Elementary,http://schools.mnps.org/cane-ridge-elementary-school,TN,82,3884 Asheford Trace
19,Nashville,4,P3,(615)291-7333,37203,185,Elementary School,Carter-Lawrence Elementary,http://schools.mnps.org/carterlawrence-elementary-school,TN,670,1118 12th Avenue South
20,Madison,4,P3,(615)860-1459,37115,200,Elementary School,Chadwell Elementary,http://schools.mnps.org/chadwell-elementary-school,TN,105,321 Port Drive
21,Nashville,8,5,(615)226-4484,37207,503,Charter,K I P P Nashville College Prep,http://kippnashville.org/,TN,8042,3410 Knight Road
22,Nashville,4,P3,(615)353-2006,37209,205,Elementary School,Charlotte Park Elementary,http://schools.mnps.org/charlotte-park-elementary-school,TN,110,480 Annex Ave.
23,Nashville,12,7,(615)298-2294,37209,211,Non-Traditional,The Academy at Old Cockrill,http://schools.mnps.org/the-academy-at-old-cockrill,TN,614,610  49th Avenue North
24,Nashville,4,P3,(615)298-8075,37209,215,Elementary School,Cockrill Elementary,http://schools.mnps.org/cockrill-elementary-school,TN,120,4701 Indiana Ave
25,Antioch,4,P3,(615)333-5043,37013,225,Elementary School,Cole Elementary,http://schools.mnps.org/cole-elementary-school,TN,130,5060 Colemont Dr.
26,Nashville,4,P3,(615)262-6981,37206,230,Elementary School,Hattie Cotton Elementary,http://schools.mnps.org/hattie-cotton-stem-magnet-elementary-school,TN,140,1033 West Greenwood Avenue
27,Nashville,4,P3,(615)333-5059,37220,235,Elementary School,Crieve Hall Elementary,http://schools.mnps.org/crieve-hall-elementary-school,TN,145,498 Hogan Road
28,Nashville,8,5,(615)332-0217x400,37211,238,Middle School,Croft Middle,http://schools.mnps.org/croft-design-center-middle-prep,TN,148,482 Elysian Fields Road
29,Nashville,4,P3,(615)291-6370,37218,240,Elementary School,Cumberland Elementary,http://schools.mnps.org/cumberland-elementary-school,TN,150,4247 Cato Road
30,Nashville,12,7,(615)291-6600,37210,242,High School,Nashville School Of The Arts,http://schools.mnps.org/nashville-school-of-the-arts-high-school,TN,512,1250 Foster Avenue
31,Hermitage,4,P3,(615)885-8806,37076,252,Elementary School,Dodson Elementary,http://schools.mnps.org/dodson-elementary-school,TN,165,4401 Chandler Rd.
32,Nashville,8,5,(615)884-4080,37214,260,Middle School,Donelson Middle,http://schools.mnps.org/donelson-middle-prep,TN,175,110 Stewarts Ferry Pike
33,Old Hickory,4,P3,(615)847-7305,37138,265,Elementary School,Dupont Elementary,http://schools.mnps.org/dupont-elementary-school,TN,180,1311 Ninth St.
34,Old Hickory,8,5,(615)847-7300,37138,270,Middle School,Dupont-Hadley Middle,http://schools.mnps.org/dupont-hadley-middle-prep,TN,190,1901 Old Hickory Blvd.
35,Hermitage,8,5,(615)885-8827,37076,275,Middle School,Dupont-Tyler Middle,http://schools.mnps.org/dupont-tyler-middle-prep,TN,185,431 Tyler Dr.
36,Nashville,4,P3,(615)298-8076,37212,280,Elementary School,Eakin Elementary,http://schools.mnps.org/eakin-elementary-school,TN,195,2500 Fairfax Avenue
37,Nashville,8,5,(615)291-6369,37208,285,Middle School,John Early Middle,http://schools.mnps.org/john-early-museum-magnet-middle-prep,TN,386,1000 Cass Street
38,Nashville,5,K,(615)630-7470,37216,286,Charter,East End Preparatory School,http://www.eastendprep.org/,TN,8009,1460 McGavock Pike
39,Nashville,12,7,(615)262-6947,37206,290,High School,East Nashville School,http://schools.mnps.org/east-nashville-magnet-high-school,TN,203,110 Gallatin Road
40,Nashville,8,5,(615)262-6670,37206,296,Middle School,East Nashville Middle,http://schools.mnps.org/east-nashville-magnet-middle-prep,TN,296,2000 Greenwood Ave
41,Nashville,1,K,(615)784-8222,37206,305,Charter,Explore Community School,http://www.explorecommunityschool.com/,TN,8060,217 South 10th Street
42,Nashville,4,P3,(615)291-6380,37203,308,Elementary School,Fall-Hamilton Elementary,http://schools.mnps.org/fallhamilton-enhanced-option-school,TN,220,510 Wedgewood Ave
43,Antioch,4,P3,(615)333-5200,37013,310,Elementary School,J.E. Moss Elementary,http://schools.mnps.org/je-moss-elementary-school,TN,370,4701 Bowfield Drive
44,Madison,4,P3,(615)860-1465,37115,315,Elementary School,Gateway Elementary,http://schools.mnps.org/gateway-elementary-school,TN,235,1524 Monticello Avenue
45,Nashville,4,P3,(615)333-5105,37211,320,Elementary School,Glencliff Elementary,http://schools.mnps.org/glencliff-elementary-school,TN,240,120 Antioch Pike
46,Nashville,12,7,(615)333-5070,37211,325,High School,Glencliff High School,http://schools.mnps.org/glencliff-high-school,TN,245,160 Antioch Pike
47,Nashville,4,P3,(615)279-7970,37204,330,Elementary School,Glendale Elementary,http://schools.mnps.org/glendale-elementary-school,TN,250,800 Thompson Ave
48,Nashville,4,P3,(615)360-2900,37217,335,Elementary School,Glengarry Elementary,http://schools.mnps.org/glengarry-elementary-school,TN,255,200 Finley Dr.
49,Nashville,4,P3,(615)262-6682,37207,340,Elementary School,Glenn Elementary,http://schools.mnps.org/glenn-enhanced-option-elementary-school,TN,260,322 Cleveland Street
50,Nashville,4,P3,(615)360-2906,37217,345,Elementary School,Glenview Elementary,http://schools.mnps.org/glenview-elementary-school,TN,265,1020 Patricia Dr.
51,Goodlettsville,4,P3,(615)859-8950,37072,350,Elementary School,Goodlettsville Elementary,http://schools.mnps.org/goodlettsville-elementary-school,TN,270,514 Donald Ave.
52,Goodlettsville,8,5,(615)859-8956,37072,355,Middle School,Goodlettsville Middle,http://schools.mnps.org/goodlettsville-middle-prep,TN,275,300 South Main Street
53,Nashville,4,P3,(615)353-2012,37209,360,Elementary School,Gower Elementary,http://schools.mnps.org/gower-elementary-school,TN,280,650 Old Hickory Blvd.
54,Nashville,8,5,(615)262-6685,37216,365,Middle School,Gra-Mar Middle,http://schools.mnps.org/gramar-middle-prep,TN,285,575 Joyce lane
55,Brentwood,4,P3,(615)333-5112,37027,370,Elementary School,Granbery Elementary,http://schools.mnps.org/granbery-elementary-school,TN,290,5501 Hill Road
56,Whites Creek,4,P3,(615)876-5105,37189,375,Elementary School,Alex Green Elementary,http://schools.mnps.org/alex-green-elementary-school,TN,5,3921 Lloyd Road
57,Nashville,4,P3,(615)298-8082,37215,380,Elementary School,Julia Green Elementary,http://schools.mnps.org/julia-green-elementary-school,TN,415,3500 Hobbs Rd
58,Nashville,4,P3,(615)662-3015,37221,395,Elementary School,Harpeth Valley Elementary,http://schools.mnps.org/harpeth-valley-elementary-school,TN,300,7840 Learning Lane
59,Nashville,12,P3,(615)298-8085,37212,397,Special Education,Harris-Hillman Special Education,http://schools.mnps.org/harrishillman-school,TN,302,1706 26th Avenue South
60,Nashville,8,5,(615)262-6688,37207,400,Middle School,Haynes Middle,http://schools.mnps.org/haynes-middle-healthmedical-science-design-center,TN,305,510 West Trinity Lane
61,Nashville,4,P3,(615)333-5118,37211,405,Elementary School,Haywood Elementary,http://schools.mnps.org/haywood-elementary-school,TN,310,3790 Turley Drive
62,Nashville,8,5,(615)329-8160,37203,410,Middle School,Head Middle,http://schools.mnps.org/head-middle-magnet-prep,TN,315,1830 Jo Johnston Ave
63,Hermitage,4,P3,(615)885-8838,37076,415,Elementary School,Hermitage Elementary,http://schools.mnps.org/hermitage-elementary-school,TN,320,3800 Plantation Dr.
64,Nashville,4,P3,(615)884-4020,37214,420,Elementary School,Hickman Elementary,http://schools.mnps.org/hickman-elementary-school,TN,327,112 Stewarts Ferry Pk
65,Nashville,12,7,(615)226-4484,37207,504,Charter,KIPP Nashville Collegiate High School,http://kippnashville.org/,TN,8011,123 Douglas Avenue
66,Antioch,12,7,(615)687-4028,37013,422,Non-Traditional,The Academy at Hickory Hollow,http://schools.mnps.org/the-academy-at-hickory-hollow,TN,720,5248 Hickory Hollow Pkwy
67,Nashville,8,5,(615)353-2020,37205,434,Middle School,H.G. Hill Middle School,http://schools.mnps.org/hg-hill-middle-prep,TN,295,150 Davidson Road
68,Nashville,12,7,(615)298-8400,37215,435,High School,Hillsboro High,http://schools.mnps.org/hillsboro-high-school,TN,335,3812 Hillsboro Road
69,Nashville,12,5,(615)353-2025,37205,440,High School,Hillwood High,http://schools.mnps.org/hillwood-high-school,TN,340,400 Davidson Road
70,Nashville,12,P3,(615)262-6675,37206,448,Special Education,Cora Howe School,http://schools.mnps.org/cora-howe-school,TN,443,1928 Greenwood Avenue
71,Nashville,12,7,(615)291-6300,37203,450,High School,Hume-Fogg High,http://schools.mnps.org/humefogg-academic-magnet-high-school,TN,355,700 Broadway
72,Nashville,4,P3,(615)291-6601,37208,451,Elementary School,Hull-Jackson Elementary,http://schools.mnps.org/hull-jackson-montessori-school,TN,350,1015 Kellow St
73,Nashville,12,7,(615)860-1401,37207,452,High School,Hunters Lane High,http://schools.mnps.org/hunters-lane-high-school,TN,358,1150 Hunters Lane
74,Nashville,4,P3,(615)262-6697,37216,455,Elementary School,Inglewood Elementary,http://schools.mnps.org/inglewood-elementary-school,TN,360,1700 Riverside Drive
75,Antioch,8,5,(615)810-8443,37013,457,Charter,Intrepid College Prep Charter,http://intrepidcollegeprep.org/,TN,8048,5234 Bell Forge Lane East
76,Old Hickory,4,P3,(615)847-7317,37138,460,Elementary School,Andrew Jackson Elementary,http://schools.mnps.org/andrew-jackson-elementary-school,TN,15,110 Shute Ln
77,Joelton,4,P3,(615)876-5110,37080,465,Elementary School,Joelton Elementary,http://schools.mnps.org/joelton-elementary-school,TN,380,7141  Whites Creek Pk
78,Joelton,8,5,(615)876-5100,37080,470,Middle School,Joelton Middle,http://schools.mnps.org/joelton-middle-prep,TN,385,3500 Old Clarksville Pk.
79,Nashville,12,5,(615)749-3067,37210,480,Non-Traditional - Hybrid,Johnson Alternative Learning Center,http://schools.mnps.org/johnson-alternative-learning-center-mnps-middle,TN,740,1200 2nd Ave S
80,Nashville,4,K,(615)291-6382,37208,485,Elementary School,Jones Elementary,http://schools.mnps.org/jones-paideia-elementary-magnet-school,TN,387,1800 9th Avenue North
81,Nashville,4,P3,(615)262-6724,37207,495,Elementary School,Tom Joy Elementary,http://schools.mnps.org/tom-joy-elementary-school,TN,635,2201 Jones Avenue
82,Antioch,4,P3,(615)941-7535,37013,496,Elementary School,A. Z. Kelley Elementary,http://schools.mnps.org/az-kelley-elementary-school,TN,1,5834 Pettus Road
83,Nashville,12,6,(615)329-8400,37203,497,High School,Martin Luther King Jr School,http://schools.mnps.org/martin-luther-king-jr-academic-magnet-high-school,TN,456,613 17th Avenue North
84,Antioch,8,5,(615)501-7900,37013,498,Middle School,John F. Kennedy Middle,http://schools.mnps.org/john-f-kennedy-middle-prep,TN,393,2087 Hobson Pike
85,Nashville,4,K,(615)226-4484,37206,499,Charter,KIPP Academy Nashville Elementary,http://kippnashville.org/,TN,8095,1000 Sevier Street
86,Nashville,4,P3,(615)876-5126,37218,500,Elementary School,Robert E. Lillard Elementary,http://schools.mnps.org/robert-e-lillard-elementary-school,TN,420,3200 King's Lane
87,Nashville,8,5,(615)226-4484,37207,502,Charter,K I P P Academy Nashville,http://kippnashville.org/,TN,8002,123 Douglas Ave
88,Nashville,4,P3,(615)262-6708,37206,505,Elementary School,Kirkpatrick Elementary,http://schools.mnps.org/kirkpatrick-enhanced-option-elementary-school,TN,425,1000 Sevier Street
89,Antioch,8,5,(615)800-6814,37013,506,Charter,Knowledge Academy,http://www.knowledgeacademies.org/,TN,8012,5380 Hickory Hollow Parkway
90,Nashville,8,5,(615)678-0543,37211,507,Charter,LEAD Prep Southeast,http://www.leadprepsoutheast.org/,TN,8013,531 Metroplex Dr.
91,Nashville,12,8,(615)327-5422,37208,508,Charter,Lead Academy,http://high.leadacademy.org/,TN,8003,1704 Heiman Street
92,Nashville,8,5,(615)262-6700,37216,510,Middle School,Isaac Litton Middle,http://schools.mnps.org/isaac-litton-middle-prep,TN,365,4601 Hedgewood Drive
93,Antioch,12,7,(615)800-6814,37013,511,Charter,Knowledge Academies High School,http://www.knowledgeacademies.org/,TN,8065,5320 Hickory Hollow Parkway
94,Antioch,8,5,(615)800-6814,37013,512,Charter,KA @ The Crossings MS,http://www.knowledgeacademies.org/,TN,8105,5380 Hickory Hollow Parkway
95,Nashville,8,5,(615)564-1965,37216,517,Charter,Liberty Collegiate Academy,http://www.republiccharterschools.org/,TN,8005,3515 Gallatin Rd.
96,Nashville,4,K,(615)258-1330,37206,520,Elementary School,Lockeland Elementary,http://schools.mnps.org/lockeland-elementary-design-center,TN,435,105 South 17th Street
97,Hermitage,4,P3,(615)232-2203,37076,522,Elementary School,Ruby Major Elementary,http://schools.mnps.org/ruby-major-elementary-school,TN,607,5141 John Hager Rd.
98,Nashville,4,P3,(615)885-8912,37214,530,Elementary School,McGavock Elementary,http://schools.mnps.org/mcgavock-elementary-school,TN,465,275 McGavock Pike
99,Nashville,12,7,(615)885-8850,37214,532,High School,McGavock High,http://schools.mnps.org/mcgavock-high-school,TN,470,3150 McGavock Pike
100,Nashville,8,5,(615)329-8170,37209,535,Middle School,Moses McKissack Middle,http://schools.mnps.org/mckissack-middle-prep,TN,35,"915 38th Avenue, North"
101,Nashville,8,5,(615)333-5126,37211,540,Middle School,McMurray Middle,http://schools.mnps.org/mcmurray-middle-prep,TN,480,520 McMurray Drive
102,Madison,8,5,(615)687-4018,37115,545,Middle School,Madison Middle,http://schools.mnps.org/madison-middle-prep,TN,622,300 Old Hickory Blvd West
103,Nashville,12,7,(615)262-6770,37216,550,High School,Maplewood High,http://schools.mnps.org/maplewood-high-school,TN,445,401 Walton Lane
104,Antioch,8,5,(615)941-7515,37013,551,Middle School,Thurgood Marshall Middle,http://schools.mnps.org/thurgood-marshall-middle-prep,TN,633,5832 Pettus Rd.
105,Antioch,4,P3,(615)333-7180,37013,552,Elementary School,Henry C Maxwell Elementary,http://schools.mnps.org/henry-c-maxwell-elementary-school,TN,318,5535 Blue Hole Road
106,Nashville,8,5,(615)271-3222,37206,555,Middle School,Meigs Middle,http://schools.mnps.org/meigs-academic-magnet-school,TN,330,713 Ramsey Street
107,Nashville,4,P3,(615)262-6677,37216,560,Elementary School,Dan Mills Elementary,http://schools.mnps.org/dan-mills-elementary-school,TN,160,4106 Kennedy Avenue
108,Nashville,12,7,(615)353-3742,37209,562,High School,Middle College High,http://schools.mnps.org/middle-college-high-school,TN,437,120 White Bridge Road
109,Nashville,8,5,(615)298-8095,37204,563,Middle School,John Trotwood Moore Middle,http://schools.mnps.org/jt-moore-middle-prep,TN,490,4425 Granny White Pike
110,Antioch,4,P3,(615)501-8800,37013,575,Elementary School,Thomas A. Edison Elementary,http://schools.mnps.org/thomas-a-edison-elementary-school,TN,208,6130 Mt. View Road
111,Antioch,4,P3,(615)641-9393,37013,576,Elementary School,Mt. View Elementary,http://schools.mnps.org/mt-view-elementary-school,TN,493,3820 Murfreesboro Road
112,Antioch,8,5,(615)333-5025,37013,577,Middle School,Apollo Middle,http://schools.mnps.org/apollo-middle-prep,TN,25,631 Richards Rd
113,Nashville,8,K,(615)298-8070,37210,585,Special Education,Murrell School,http://schools.mnps.org/murrell-school,TN,505,"1450 14th Avenue, South"
114,Nashville,7,5,(615)921-5000,37207,589,Charter,Nashville Academy of Computer Science,http://www.republiccharterschools.org/,TN,8055,3230 Brick Church Pike
115,Nashville,4,P3,(615)291-6400,37210,590,Elementary School,Napier Elementary,http://schools.mnps.org/napier-enhanced-option-elementary-school,TN,510,60 Fairfield Avenue
116,Nashville,5,K,(615)538-5841,37206,592,Charter,Nashville Classical,www.nashvilleclassical.org,TN,8044,1310 Ordway Place
117,Nashville,8,5,(615)921-8440,37209,594,Charter,Nashville Prep,http://www.republiccharterschools.org/,TN,8008,1300 - 56th Avenue N
118,Madison,4,P3,(615)860-1471,37115,595,Elementary School,Neelys Bend Elementary,http://schools.mnps.org/neelys-bend-elementary-school,TN,515,1300 Neely's Bend Rd
119,Madison,8,7,(615)860-1477,37115,600,Middle School,Neelys Bend Middle,http://schools.mnps.org/neelys-bend-middle-prep,TN,520,1251 Neelys Bend Road
120,Madison,6,5,(615)645-6461,37115,601,Charter,Neelys Bend College Prep,http://www.neelysbendcollegeprep.org/,TN,6000,1251 Neelys Bend Road
121,Nashville,8,5,(615)360-1115,37217,605,Charter,New Vision Academy,http://www.newvisionacademytn.org/,TN,8004,297 Plus Park Blvd
122,Goodlettsville,4,P3,(615)859-8968,37072,610,Elementary School,Old Center Elementary,http://schools.mnps.org/old-center-elementary-school,TN,535,1245 Dickerson Rd.
123,Nashville,8,5,(615)332-3011,37211,612,Middle School,William Henry Oliver Middle,http://schools.mnps.org/oliver-middle-prep,TN,538,6211 Nolensville Rd.
124,Nashville,12,7,(615)810-8306,37214,613,Non-Traditional,The Academy at Opry Mills,http://schools.mnps.org/the-academy-at-opry-mills,TN,612,The Academy at Opry Mills 437 Opry Mills Way
125,Nashville,12,7,(615)333-5135,37220,615,High School,John Overton High,http://schools.mnps.org/john-overton-high-school,TN,395,4820 Franklin Road
126,Nashville,4,P3,(615)333-5170,37211,618,Elementary School,Paragon Mills Elementary,http://schools.mnps.org/paragon-mills-elementary-school,TN,540,260 Paragon Mills Rd
127,Nashville,4,P3,(615)298-8412,37209,620,Elementary School,Park Avenue Elementary,http://schools.mnps.org/park-avenue-enhanced-option-elementary-school,TN,545,3703 Park Avenue
128,Nashville,12,7,(615)329-8150,37208,632,High School,Pearl-Cohn High,http://schools.mnps.org/pearl-cohn-entertainment-magnet-high-school,TN,555,904 26th Avenue North
129,Nashville,4,P3,(615)885-8918,37214,640,Elementary School,Pennington Elementary,http://schools.mnps.org/pennington-elementary-school,TN,565,2817 Donna Hill Dr
130,Nashville,4,P3,(615)298-8416,37215,650,Elementary School,Percy Priest Elementary,http://www.edlinesites.net/pages/Percy_Priest_Elementary_School,TN,570,1700 Otter Creek Rd.
131,Nashville,5,K,(615)724-0705,37228,652,Charter,Purpose Prep,http://www.purposeprep.org/,TN,8046,220 Venture Circle
132,Nashville,12,7,(615)291-6620,37207,660,Charter,RePublic High School,http://www.republiccharterschools.org/,TN,8100,3307 Brick Church Pike
133,Nashville,12,P3,(615)333-5175,37220,665,GATE Center,Robertson Academy Gifted School,http://relillardes.mnps.org/pages/RobertLillardES,TN,90001,835 Robertson Academy Rd.
134,Nashville,4,K,(615)650-5560,37207,667,Charter,Rocketship Nashville Northeast Elementary,http://www.rsed.org/northeastelem/index.cfm,TN,8050,2526 Dickerson Road
135,Nashville,4,K,(615)712-7499,37217,668,Charter,Rocketship United,http://www.rsed.org/rua/index.cfm,TN,8070,320 Plus Park Blvd
136,Nashville,4,P3,(615)262-6720,37206,670,Elementary School,Rosebank Elementary,http://schools.mnps.org/rosebank-stem-school,TN,600,1012 Preston Avenue
137,Nashville,8,5,(615)291-6405,37203,675,Middle School,Rose Park Middle,http://schools.mnps.org/rose-park-magnet-math-and-science-middle,TN,595,"1025 - 9th Avenue, South"
138,Nashville,4,P3,(615)332-3020,37211,682,Elementary School,May Werthan Shayne Elementary School,http://schools.mnps.org/shayne-elementary-school,TN,608,6217 Nolensville Road
139,Nashville,4,P3,(615)262-6725,37207,685,Elementary School,Shwab Elementary,http://schools.mnps.org/shwab-elementary-school,TN,610,1500 Dickerson Road
140,Antioch,4,P3,(615)889-1975,37013,686,Elementary School,Smith Springs Elementary School,http://schools.mnps.org/smith-springs-elementary-school,TN,750,3132 Smith Springs Road
141,Nashville,4,K,(615)228-9886,37115,687,Charter,Smithson Craighead Academy,http://www.projectreflect.org/smithson-craighead-academy/,TN,8001,730 Neelyâ€™s Bend Road
142,Nashville,4,P3,(615)885-8822,37214,690,Elementary School,Stanford Elementary,http://schools.mnps.org/stanford-montessori-elementary-school,TN,615,2417 Maplecrest Drive
143,Nashville,8,5,(615)921-2200,37210,695,Charter,STEM Prep Academy,http://stemprepacademy.org/,TN,8006,1162 Foster Ave.
144,Nashville,12,7,(615)921-2200,37210,696,Charter,STEM Prep High School,http://stemprepacademy.org/,TN,8075,1162 Foster Avenue
145,Nashville,12,5,(615)242-6730,37216,705,High School,Stratford STEM Magnet School,http://schools.mnps.org/stratford-stem-magnet-high-school,TN,620,1800 Stratford Ave
146,Madison,4,P3,(615)860-1486,37115,710,Elementary School,Stratton Elementary,http://schools.mnps.org/stratton-elementary-school,TN,625,310 Old Hickory Blvd West
147,Nashville,8,5,(773)981-5646,37214,712,Charter,Strive Collegiate Academy,http://strivecollegiate.org/,TN,8090,3055 Lebanon Road 3rd Floor
148,Nashville,4,P3,(615)298-8423,37209,715,Elementary School,Sylvan Park Elementary,http://schools.mnps.org/sylvan-park-paideia-design-center,TN,630,4801 Utah Avenue
149,Hermitage,4,P3,(615)885-8944,37076,717,Elementary School,Tulip Grove Elementary,http://schools.mnps.org/tulip-grove-elementary-school,TN,637,441 Tyler Dr.
150,Nashville,12,8,(615)298-6617,37209,718,Non-Traditional - Hybrid,The Cohn Learning Center,http://schools.mnps.org/the-cohn-school,TN,745,4805 Park Avenue
151,Nashville,4,P3,(615)333-5179,37211,725,Elementary School,Tusculum Elementary,http://schools.mnps.org/tusculum-elementary-school,TN,645,4531 Nolensville Road
152,Nashville,8,5,(615)885-8931,37214,730,Middle School,Two Rivers Middle,http://schools.mnps.org/two-rivers-middle-prep,TN,650,2991 McGavock Pk
153,Nashville,4,P3,(615)360-2921,37217,735,Elementary School,Una Elementary,http://schools.mnps.org/una-elementary-school,TN,655,2018 Murfreesboro Road
154,Nashville,8,5,(615)823-7982,37211,743,Charter,Valor Flagship Academy,http://valorcollegiate.org/,TN,8045,4527 Nolensville Road
155,Nashville,7,5,(615)823-7982,37211,744,Charter,Valor Voyager Academy,http://valorcollegiate.org/,TN,8080,4527 Nolensville Road
156,Nashville,12,K,(615)463-0188,37209,748,Non-Traditional,Metro Nashville Virtual School,http://vlearn.mnps.org/pages/MNPSVirtualSchool,TN,3,4805 Park Avenue Suite 300
157,Nashville,4,P3,(615)291-6395,37206,755,Elementary School,Warner Elementary,http://schools.mnps.org/warner-enhanced-option-elementary-school,TN,675,626 Russell Street
158,Nashville,4,P3,(615)800-7690,37204,765,Elementary School,Waverly-Belmont Elementary School,http://schools.mnps.org/waverly-belmont-elementary-school,TN,755,2301 - 10th Avenue South
159,Nashville,8,5,(615)298-8425,37205,770,Middle School,West End Middle,http://schools.mnps.org/west-end-middle-prep,TN,690,3529 West End Avenue
160,Nashville,4,P3,(615)353-2066,37205,775,Elementary School,Westmeade Elementary,http://schools.mnps.org/westmeade-elementary-school,TN,695,6641 Clearbrook Drive
161,Nashville,8,5,(615)291-6515,37218,783,Middle School,Creswell Middle Prep School of the Arts,http://schools.mnps.org/creswell-middle-prep-school-of-the-arts,TN,700,3500 John Mallette Drive
162,Nashville,4,P3,(615)687-4024,37208,784,Elementary School,Robert Churchwell Elementary,http://schools.mnps.org/robert-churchwell-museum-magnet-elementary,TN,618,1625 Dr. D. B. Todd Jr. Blvd.
163,Whites Creek,12,7,(615)876-5132,37189,787,High School,Whites Creek High School,http://schools.mnps.org/whites-creek-high-school,TN,704,7277 Old Hickory Blvd.
164,Nashville,4,P3,(615)333-5600,37210,790,Elementary School,John B. Whitsitt Elementary,http://schools.mnps.org/whitsitt-elementary-school,TN,390,110 Whitsett Rd
165,Nashville,8,5,(615)333-5189,37211,805,Middle School,Wright Middle,http://schools.mnps.org/wright-middle-prep,TN,715,180 McCall Street
